127.0.0.1 - - [12/Mar/2016:14:12:11 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:12:11 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 200 15638
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:12:11 +0200] "GET /Mobile.bg/js/confirmPassword.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:12:12 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:12:24 +0200] "POST /Mobile.bg/Registration HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:12:51 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 200 15638
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:12:51 +0200] "GET /Mobile.bg/js/confirmPassword.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:12:58 +0200] "POST /Mobile.bg/Registration HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:13:00 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:13:00 +0200] "GET /Mobile.bg/js/confirmPassword.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:13:00 +0200] "GET /Mobile.bg/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:13:00 +0200] "GET /Mobile.bg/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:13:00 +0200] "GET /Mobile.bg/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:13:16 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 200 15606
0:0:0:0:0:0:0:1 - - [12/Mar/2016:14:13:16 +0200] "GET /Mobile.bg/js/confirmPassword.js HTTP/1.1" 404 1056
